id,original,base_time,base,small_time,small,medium_time,medium,large_time,large
335,지난 시간에 공부했던 음운의 교체는 어떤 것이 있었죠 교과서에서 대표적으로 다루고 있었던 것은 비음 화가 있었어요 그렇죠 비음이 아닌 것이 비음으로 바뀌는 현상이죠 비음이 아니었던 그니까 파.,2.927514553,지난 시간에 공부했던 의문의 교체는 어떤 것이 있었죠? 교과사에서 대표적으로 다루고 있었던 것은 비음화가 있었어요. 비음이 아닌 것이 비음으로 바뀌는 상이죠. 비음이 아니었다는 게.,8.093039989,지난 시간에 공부했던 의문의 교체는 어떤 것이 있었죠. 교과사에서 대표적으로 다루고 있었던 것은 비음화가 있었어요. 그죠. 비음이 아닌 것이 비음으로 바뀌는 현상이죠. 비음이 아니었던가,23.58752966,지난 시간에 공부했던 의문의 교체는 어떤 것이 있었죠? 교과서에서 대표적으로 다루고 있었던 것은 비음화가 있었어요. 그렇죠? 비음이 아닌 것이 비음으로 바뀐 현상이죠. 비음이 아니었던가.,42.79667592,지난 시간에 공부했던 의문의 교체는 어떤 것이 있었죠? 교과서에서 대표적으로 다루고 있었던 것은 비음화가 있었어요. 비음이 아닌 것이 비음으로 바뀌는 현상이죠. 비음이 아니었던.
336,근데 제가 오늘 아까 오늘의 (메뉴로)/(머뉴로) 제시해드렸던 것 중에 비슷한 그 어떤 말이 있었는데 기억나세요 아까 유음화. 지난 시간에는 비음화 공부했고 오늘은 유음화를 공부한다고 하니 유음이 뭔지 물론 배웠지만 모른다고 해도 알겠죠 짐작을 할 수 있겠죠 유음이 아니던 것이 유음으로 바뀌어서 발음되는 현상일 (것이라고)/(것이다라고) 짐작할 수 있고요 이미 지난 시간에 저랑 같이 공부할 때도 유음이 무엇인지 그리고 우리말 자음 중에 딱 하나 유음이 있는 것 확인해 봤는데 기억이 나는지 모르겠습니다. 복습하고 다시 외우는 마음으로 여러분 교과서 구십오 쪽에 보면 자음 체계 표 있는데 그거 이해하시기로 했죠 다시 한번 살펴보시고 저는 칠판에다가 간략한 표를 요약해서 제공해 드리겠습니다.,4.272560835,근데 제가 오늘 아까 오늘의 메뉴로 제시해드렸던 것 중에 비슷한 거 어떤 말이 있었는데 기억나세요? 아까 유음화. 지난 시간에는 비음화고받고 오늘은 유음화를 공부한다고 하니 유음이 먼저 물엄 배웠지만 모른다고 해도 알겠죠. 짐작을 할 수 있겠죠. 유음이 아니선 것이 유음으로 바뀌어서 발음되는 현상일 것이다 라고 짐작할 수 있고요.,12.34045267,근데 제가 오늘 아까 오늘의 메뉴로 제시해드렸던 것 중에 비슷한 그 어떤 말이 있었는데 기억나세요? 아까 유음화. 지난 시간에는 비음화 공부했고 오늘은 유음화를 공부한다고 하니 유음이 뭔지 물론 배웠지만 모른다고 해도 알겠죠? 짐작을 할 수 있겠죠? 유음이 아니던 것이 유음으로 바뀌어서 발음되는 현상일 것이다 라고 짐작할 수 있고요. 이미 지난 시간에 저랑 같이 공부할 때도 유음이 무엇인지,34.20715928,"근데 제가 오늘 아까 오늘의 메뉴로 제시해 드렸던 것 중에 비슷한 어떤 말이 있었는데 기억나세요? 아까 유음화, 지난 시간에는 비음화 공부했고 오늘은 유음화를 공부한다고 하니 유음이 뭔지 물론 배웠지만 모른다고 해도 알겠죠? 짐작을 할 수 있겠죠? 유음이 아니던 것이 유음으로 바뀌어서 발음 되는 현상일 것이다 라고 짐작할 수 있고요. 이미 지난 시간에 저랑 같이 공부할 때도 유음이 무엇인지 그리고 우리말 자음 중에",61.54184294,"근데 제가 오늘 아까 오늘의 메뉴로 제시해 드렸던 것 중에 비슷한 그 어떤 말이 있었는데 기억나세요? 아까 유음화, 지난 시간에는 비음화 공부했고 오늘은 유음화를 공부한다고 하니 유음이 뭔지 물론 배웠지만 모른다고 해도 알겠죠? 짐작을 할 수 있겠죠? 유음이 아니던 것이 유음으로 바뀌어서 발음되는 현상일 것이다 라고 짐작할 수 있고요 이미 지난 시간에 저랑 같이 공부할 때도 유음이 무엇인지"
337,여러분 보고 있는 그 표 그대로예요. 거기에서 이 부분만 지금 따가지고 온 거예요. 제가 별다른 다른 뭐 이렇게 바꾼 게 아니고 그 부분만 딱 떼어서 지금 가지고 온 겁니다.,2.625996351,여러분 보고 있는 급표 그대로예요. 거기에서 이 부분만 지금 따가지고 온 거예요. 제가 별다른 뭐 바꾼 게 아니고 고 부분만 딱 떼어서 지금 가지고 온 겁니다.,7.098012209,여러분 보고 있는 그 표 그대로예요. 거기에서 이 부분만 지금 따가지고 온 거예요. 제가 별다른 다른 뭐 이렇게 바꾼 게 아니고 그 부분만 딱 떼어서 지금 가지고 온 겁니다.,20.11619759,여러분 보고 있는 그 표 그대로예요 거기에서 이 부분만 지금 따 가지고 온 거예요 제가 별다른 다른 뭐 이렇게 바꾼 게 아니고 그 부분만 딱 떼어서 지금 가지고 온 겁니다,38.10213566,여러분 보고 있는 그 표 그대로예요. 거기에서 이 부분만 지금 따가지고 온 거예요. 제가 별다른 다른 뭐 이렇게 바꾼 게 아니고 그 부분만 딱 떼어서 지금 가지고 온 겁니다.
338,자/ 보세요 오늘 공부하는 부분이 유음화라고 했죠 여기에 보면 그러네요 유음은 딱 하나 리을이라고 하는 딱 하나의 자음이 있어요. 르 발음이 하나 있네요.,2.76522541,"자, 보세요. 오늘 공부하는 부분이 유음화라고 있죠. 여기 보면 그러네요. 유음을 딱 하나, 리을 이라고 한 딱 하나의 자음이 있어요. 루, 마름이 하나 있네요.",7.419188738,"자 보세요 오늘 공부하는 부분이 유음화라고 했죠. 여기 보면 그러네요. 유음은 딱 하나. 리을이라고 하는 딱 하나의 자음이 있어요. 르, 마름이 하나 있네요.",21.44152427,"자 보세요. 오늘 공부하는 부분이 유음화 라고 했죠. 여기 보면 그러네요. 유음은 딱 하나, ㄹ이라고 하는 딱 하나의 자음이 있어요. ㄹ 발음이 하나 있네요.",38.04933906,"자 보세요 오늘 공부하는 부분이 유음화라고 했죠 여기 보면 그러네요 유음은 딱 하나, 리을이라고 하는 딱 하나의 자음이 있어요 르 발음이 하나 있네요"
339,우리가 지난 시간에 공부했던 비음은 세 개의 자음이 있었죠 그래서 우리가 이.,1.951594591,우리가 지날 시간에 공부했던 비음은 세계의 잠이 있었죠. 그래서 우리가,5.756065845,우리가 지난 시간에 공부했던 비음은 3개의 자음이 있었죠. 그래서 우리가,17.06076169,우리가 지난 시간에 공부했던 비음은 3개의 자음이 있었죠. 그래서 우리가,31.30672026,우리가 지난 시간에 공부했던 비음은 3개의 자음이 있었죠.
340,비음이 유음으로 바뀌는 현상이에요. 그렇.,1.681998014,비음이 유음으로 바뀌는 현상이에요.,5.224158764,비음이 유음으로 바뀌는 현상이에요.,16.0638082,비음이 유음으로 바뀌는 현상이에요.,29.40692639,비음이 유음으로 바뀌는 현상이에요
341,그렇게 어렵지 않습니다. 왜 어렵지 않다고 말하냐면요 여러분은 뭐 이게 단순히 자음이 한 개여서 지난 시간에 비음화는 자음이 여러 개여서 오늘 유음화는 자음이 한 개여서 선생님이 쉽다고 하나 보다 그게 아니고요 사.,3.008008957,어렵지 않습니다. 왜 어렵지 않다고 말하냐 하면 여러분은 단순히 잠이 한겨서 지내시길 바라 비구만을 잠이 여러겨서 오늘 유흥한 잠이 한겨서 선생님이 쉽다고 하나보다 그게 아니고요.,8.862000704,이렇게 어렵지 않습니다. 왜 어렵지 않다고 말하냐면요. 여러분은 뭐 이게 단순히 자음이 한계여서 지난 시간에 비음하는 자음이 여러개여서 오늘 유음하는 자음이 한계여서 선생님이 쉽다고 하나보다 그게 아니고요.,25.14922166,그렇게 어렵지 않습니다. 왜 어렵지 않다고 말하냐면요. 여러분은 이게 단순히 자음이 한계여서 지난 시간에 비음하는 자음이 여러개여서 오늘 유음하는 자음이 한계여서 선생님이 쉽다고 하나 보다. 그게 아니고요.,44.36473393,어렵지 않습니다. 왜 어렵지 않다고 말하냐면요. 여러분은 뭐 이게 단순히 자음이 한계여서 지난 시간에 비음하는 자음이 여러개여서 오늘 유음하는 자음이 한계여서 선생님이 쉽다고 하나 보다. 그게 아니고요.
342,그니까 실제로 발음을 사람들이 그렇게 하게 된 거죠.,1.748000145,그러니까 실제로 바름을 사람들이 그렇게 하게 된 거죠.,5.019052505,그러니까 실제로 바르면 사람들이 그렇게 하게 된 거죠,15.10141873,실제로 발음을 사람들이 그렇게 하게 된 거죠.,28.47788835,그러니까 실제로 바르면 사람들이 그렇게 하게 된 거죠.
343,발음을 편리하게 하기 위해서. 그래서 결국은 자연스럽게 그 발음을 하면 아/ 이런 의문의 변동이 있구나 하고 역으로 그 의문의 변동에 대한 이론과 원리를 찾아가면 가장 좋은 공부 방법이에요.,2.977007866,"바름은 탈리하게 하기 위해서 결국은 자연스럽게 그 바름을 하면 아, 이런 의문의 변동이 있구나 하고 여구로 그 의문의 변동에 대한 이런가 원리를 찾아가면 가장 좋은 공급 방법이에요.",7.967042208,발음을 편리하게 하기 위해서 그래서 결국은 자연스럽게 그 발음을 하면 아 이런 의문의 변동이 있구나 하고 역으로 그 의문의 변동에 대한 이론과 원리를 찾아가면 가장 좋은 궁금 방법이에요,22.42464399,발음을 편리하게 하기 위해서 그래서 결국은 자연스럽게 그 발음을 하면 아 이런 의문의 변동이 있구나 하고 역으로 그 의문의 변동에 대한 이론과 원리를 찾아가면 가장 좋은 공부방법이에요.,43.53973866,발음을 편리하게 하기 위해서 그래서 결국은 자연스럽게 그 발음을 하면 아 이런 의문의 변동이 있구나 하고 역으로 그 의문의 변동에 대한 이론과 원리를 찾아가면 가장 좋은 공부 방법이에요
344,그런데 여러분이 잘 틀리는 부분이 있죠.,1.638998032,근데 여러분이 잘 트는 부분 있죠?,5.008389235,근데 여러분이 잘 틀리는 부분 있죠,15.25484633,근데 여러분이 잘 틀리는 부분이 있죠.,28.96341515,근데 여러분이 잘 틀리는 부분이 있죠.
345,국어 화자 중에 잘못된 발음을 하고 있으면 자기가 어떻게 틀렸는지 모르고 어떻게 하는 것이 맞는 건지 모르고 그러니까 맞는 원리도 찾기가 어려워지는 거죠. 그.,2.350998402,그 후에 잘 못된 마릇을 하고 있으면 자기가 어떻게 틀렸는지 모르고 어떻게 하는 것이 맞는 것이 모르고 그러니까 맞는 원리도 찾기가 어려워지는 거죠.,7.134023905,두고 하자 중에 잘못된 발음을 하고 있으면 자기가 어떻게 틀렸는지 모르고 어떻게 하는 것이 맞는 건지 모르고 그러니까 맞는 원리도 찾기가 어려워지는 거죠,19.88608813,국어화자 중에 잘못된 발음을 하고 있으면 자기가 어떻게 틀렸는지 모르고 어떻게 하는 것이 맞는 건지 모르고 그러니까 맞는 원리도 찾기가 어려워지는 거죠.,36.93480515,한국어 과자 중에 잘못된 발음을 하고 있으면 자기가 어떻게 틀렸는지 모르고 어떻게 하는 것이 맞는 건지 모르고 그러니까 맞는 원리도 찾기가 어려워지는 거죠
346,그래서 점점 암기에 의존하게 되고 또 금방 까먹고 문제 틀리고 이렇게 되는 거거든요.,2.087042093,그래서 점점 안기해오기 전하게 되고 또 금방 까먹고 문제 틀리고 이렇게 되는 거거든요.,5.882086992,점점 암기의 의존하게 되고 금방 까먹고 문제 틀리고 이렇게 되는 거거든요.,17.78012204,그래서 점점 암기에 의존하게 되고 금방 까먹고 문제 틀리고 이렇게 되는 거거든요.,33.38490629,그래서 점점 암기에 의존하게 되고 또 금방 까먹고 문제 틀리고 이렇게 되는 거거든요.
347,사실은 올바른 발음을 하는 게 가장 중요하긴 합니다. 그래서 여러분 입장에서는 아이 발.,2.042027473,사실은 올바른 바름을 하는 게 가장 중요합니다. 여러분 입장에서는 하이파이,5.874551058,사실은 올바른 발음을 하는게 가장 중요하긴 합니다. 여러분 입장에서는,17.33211231,사실은 올바른 발음을 하는 게 가장 중요하긴 합니다. 여러분 입장에서는,30.63272738,사실은 올바른 발음을 하는 게 가장 중요하긴 합니다.
348,발음이 뭐가 중요해 알아들으면 되지라고 하지만 그렇지 않아요. 바르게 발음하려고 노력하셔야 됩니다. 그리고 실제로 그 발음을 해 보세요.,2.335998535,바름이 뭐가 중요해 알아들으면 되지라고 하지만 그렇지 않아요. 바르게 바를려고 노력하셔야 됩니다. 그리고 실제로 그 바름을 해보세요.,6.510008574,발음이 뭐가 중요해 알아들으면 되지 라고 하지만 그렇지 않아요 바르게 발음하려고 노력하셔야 됩니다 그리고 실제로 그 발음을 해보세요,19.75711989,발음이 뭐가 중요해 알아 들으면 되지 라고 하지만 그렇지 않아요. 바르게 발음하려고 노력하셔야 됩니다. 그리고 실제로 그 발음을 해 보세요.,36.24433684,발음이 뭐가 중요해 알아들으면 되지 라고 하지만 그렇지 않아요 바르게 발음하려고 노력하셔야 됩니다 그리고 실제로 그 발음을 해보세요
349,학교 수업에서 제가 발음 기호 계속 보여드리고 있는데 그 발음을 실제로 해 봐서 자기.,1.658999681,그 바름을 실제로 해봐서 자기야.,5.773009539,학교 수업에서 제가 발음 기호 계속 보여드리고 있는데 그 발음을 실제로 해봐서,16.92106152,학교 수업에서 제가 발음기 계속 보여드리고 있는데 그 발음을 실제로 해봐서,31.97210336,학교 수업에서 제가 발음기구 계속 보여드리고 있는데 그 발음을 실제로 해봐서
350,기가 올바른 발음을 하고 있으면 자연스럽게 읽었을 때 그 책에 있는 내용과 올바른 발음을 하고 있으면 사실은 그걸 달달 외우지 않아도 돼요.,2.607866049,이게 올바른 바름을 하고 있어요. 자연스럽게 읽었을 때 그 책이 있는 내용과 올바른 바름을 하고 있으면 사실은 그걸 달달 외우지 않아도 돼요.,7.433027029,이게 올바른 발음을 하고 있습니다. 자연스럽게 읽었을 때 그 책에 있는 내용과 올바른 발음을 하고 있으면 사실은 그걸 달달 외우지 않아도 돼요.,21.16321993,우리가 올바른 발음을 하고 있으면 자연스럽게 읽었을 때 그 책에 있는 내용과 올바른 발음을 하고 있으면 사실은 그걸 달달 외우지 않아도 돼요,35.37924457,자연스럽게 읽었을 때 그 책에 있는 내용과 올바른 발음을 하고 있으면 사실은 그걸 달달 외우지 않아도 돼요
351,틀리게 발음하는 부분이 있으면 그걸 고쳐서 외우는 게 사실은 중요해요.,1.922007561,흘리게 바름하는 부분이 있으면 그걸 고쳐서 외우는 게 사실을 중요해요.,5.555897474,슬랙에 바르면 그거를 고쳐서 외우는게 사실은 중요해요,16.73671746,클릭에 발음하는 부분이 있으면 그걸 고쳐서 외우는 게 사실 중요해요.,31.36665916,클릭의 발음하는 부분이 있으면 그걸 고쳐서 외우는 게 사실 중요해요.
352,유음하는 학생들이 발음을 거의 틀리지 않더라고요.,1.873997211,유희만의 학생들이 발음을 거의 틀리지 않더라고요.,5.51802063,유흥한 학생들이 발음을 거의 틀리지 않더라고요.,16.44991183,유음하는 학생들이 발음을 거의 틀리지 않더라고요.,30.54445672,유 많은 학생들이 발음을 거의 틀리지 않더라고요
353,제가 보니까. 비음하는 잘못 발음하는 학생들도 꽤 많이 있어요. 그래서 발음을 한번 해 볼래 그럼 애초에 발음 자체가 틀려서 비음화의 원리를 찾거나 하는 게 어려운 경우가 있는데 오늘 공부하는 유음화하고 된소리되기는 사실은 대부분의 학생들이 제대로 발음하는 경우가 많아요.,3.563114643,제가 보니까 비흄하는 잘못 발음하는 학생들도 꽤 많이 있어요. 발음을 한번 해볼래 그럼 애초의 발음 자체가 틀려서 비흄마의 원리를 찾거나 하는 게 어려운 경우가 있는데 오늘 공부하는 유모하고 된 소리되기는 사실은 대부분의 학생들이 제대로 발음하는 경우가 많아요.,9.715328693,제가 보니까 비음하는 잘못 발음하는 학생들도 꽤 많이 있어요. 발음을 한번 해볼래? 그럼 애초에 발음 자체가 틀려서 비음화의 원리를 찾거나 하는 게 어려운 경우가 있는데 오늘 공부하는 유음화하고 된소리되기는 사실은 대부분의 학생들이 제대로 발음하는 경우가 많아요.,26.67514467,제가 보니까 비음하는 잘못 발음하는 학생들도 꽤 많이 있어요. 발음을 한번 해볼래? 그러면 애초에 발음 자체가 틀려서 비음화의 원리를 찾거나 하는 게 어려운 경우가 있는데 오늘 공부하는 유음화하고 된소리 되기는 사실은 대부분의 학생들이 제대로 발음하는 경우가 많아요.,48.88470435,제가 보니까 비음하는 잘못 발음하는 학생들도 꽤 많이 있어요 발음을 한번 해볼래? 그럼 애초에 발음 자체가 틀려서 비음화의 원리를 찾거나 하는 게 어려운 경우가 있는데 오늘 공부하는 유음화하고 된소리 대기는 사실은 대부분의 학생들이 제대로 발음하는 경우가 많아요
354,그래서 의외로 쉽다고 말씀을 드린 겁니다.,1.684000492,그래서 의외로 쉽다고 말씀을 드린 겁니다.,5.110000134,그래서 의미로 쉽다고 말씀을 드린 겁니다.,15.6246736,그래서 의외로 쉽다고 말씀을 드린 겁니다.,29.06567121,그래서 의외로 쉽다고 말씀을 드린 겁니다
355,원리를 공부할 때 어/ 쉽다는 게 아니라 발음만 정확하게 해도 별로 어렵지 않게 문제를 풀어갈 수 있어요.,2.156025887,원리로 공부할 때 10다는 게 아니라 바름만 정확하게 해도 별로 어렵지 않게 문제를 풀어갈 수 있어요.,6.137042284,원리를 공부할 때 쉽다는 게 아니라 발음만 정확하게 해도 별로 어렵지 않게 문제를 풀어갈 수 있어요.,17.99302864,원리를 공부할 때 쉽다는 게 아니라 발음만 정확하게 해도 별로 어렵지 않게 문제를 풀어갈 수 있어요.,33.79688907,원리를 공부할 때 쉽다는 게 아니라 발음만 정확하게 해도 별로 어렵지 않게 문제를 풀어갈 수 있어요
356,제 말이 맞는지 틀린 지 한번 확인해 보도록 하죠.,1.83999753,제맛이 맞는지 트리는지 확인해 보도록 하죠.,5.52045083,제 말이 맞는지 틀리는지 한번 확인해 보도록 하죠.,16.20564485,제 말이 맞는지 틀리는지 한번 확인해 보도록 하죠.,30.76492882,제 말이 맞는지 틀리는지 한번 확인해 보도록 하죠.
357,자/ 봅니다. 오늘 공부할 부분은 유음화 여러분 교과서에 구십칠 쪽을 펴주세요.,2.133530855,자 봅니다. 오늘 공부할 부분은 유흥화 여러분 교과서의 97주 요걸 털어주세요.,5.950039625,자 봅니다 오늘 공부할 부분은 유음화 여러분 교과서의 97 쭉을 펴주세요,17.96907258,자 봅니다. 오늘 공부할 부분은 유음화 여러분 교과서의 97쪽을 펴주세요.,33.55294299,자 봅니다. 오늘 공부할 부분은 유흥화 여러분 교과서의 97쪽을 펴주세요.
358,자/ 유음 리을의 앞이나 뒤에서 니은이 리을로 교체되는 현상이라고 했습니다.,2.051004887,유의미 리얼의 앞이나 뒤에서 리얀이 릴로 교체되는 현상이라고 했습니다.,5.918020487,윰 리을의 앞이나 뒤에서 리은이 리을로 교체되는 현상이라고 했습니다.,17.81849027,"자, 유음, 리을의 앞이나 뒤에서 니은이 리을로 교체되는 현상이라고 했습니다.",33.65970469,"자, 이음 리을의 앞이나 뒤에서 니은이 리을로 교체되는 현상이라고 했습니다."
359,보세요 음운은 환경이 중요하다고 했는데 어디에서.,1.74102211,보세요. 음은 환경이 중요하다고 했는데 어디에서,5.278997183,보세요 음은 환경이 중요하다고 했는데 어디에서,16.11019135,보세요. 의문 환경이 중요하다고 했는데 어디에서,29.43926764,음은 환경이 중요하다고 했는데 어디에서?
360,교체되는 현상 그것이 유음화예요. 유음이 아닌 것이 유음으로 바뀌는 것. 유음이 된 거죠 그래서 명칭을 유음화라고 합니다.,2.57000494,"교체되는 현상, 그것이 유음화예요. 유음이 아닌 것이 유음으로 바뀌는 것, 유음이 된 거죠. 그래서 명칭을 유음화하라고 합니다.",6.915083647,교체되는 현상 그것이 유음화예요 유음이 아닌 것이 유음으로 바뀌는 것 유음이 된 거죠 그래서 명칭을 유음화라고 합니다,20.62312603,"교체되는 현상 그것이 유음화예요. 유음이 아닌 것이 유음으로 바뀌는 것, 유음이 된 거죠. 그래서 명칭을 유음화라고 합니다.",36.83590555,교체되는 현상 그것이 유음화예요. 유음이 아닌 것이 유음으로 바뀌는 것. 유음이 된 거죠. 그래서 명칭을 유음화라고 합니다
361,그래서 우리가 공부하고 있는 이 음운의 교체의 명칭 자체가 그 음운 변동에 대한 설명을 고스란히 담고 있어서 사실은 이해하고 암기하는 게 제일 중요해요.,2.545590639,우리 홍보고 있는 이 음원의 교체의 명칭 자체가 그 음원 변통에 대한 설명을 고스란히 담포 있어서 사실을 이해하고 암기하는 게 제일 중요해요.,7.043011189,우리가 공부하고 있는 이 의문의 교체의 명칭 자체가 그 의문 변동에 대한 설명을 고스란히 담고 있어서 사실은 이해하고 암기하는 게 제일 중요해요.,20.78217363,우리가 공부하고 있는 이 의문의 교체의 명칭 자체가 그 의문 변동에 대한 설명을 고스란히 담고 있어서 사실은 이해하고 안기하는 게 제일 중요해요.,38.79337096,우리가 공부하고 있는 이 의문의 교체의 명칭 자체가 그 의문 변동에 대한 설명을 고스란히 담고 있어서 사실은 이해하고 암기하는 게 제일 중요해요
362,자/ 우선 이해했어요. 음/ 그렇구나. 정말로 그렇게 발음이 되나 한번 발음을 해 볼까요 제가 앞서 말씀드린 것처럼 유음화는 학생들이 발음을 대체로 물론 틀린 학생도 있겠습니다마는 대체로 발음을 잘 하는 경향이 있어요. 그럼 본인이 한번 해 보라니까요 자/ 해 보세요. 이 첫 번째 단어가 자연스럽게 읽어보세요. 어떻게 읽죠.,3.898702383,"자, 우선 이해했어요. 그렇구나. 정말로 그렇게 발음이 되나 한번 발음해 볼까요? 제가 앞서 말씀드린 것처럼 유우 많은 학생들이 발음을 대체로 불렀는 것도 있겠습니다만 대체로 발음을 잘 하는 경향이 있어요. 그럼 본인이 한번 해보라니까요. 해보세요. 이 첫 번째 단어를 자연스럽게 읽어보세요. 어떻게 읽죠?",10.44093156,자 우선 이해했어요. 음 그렇구나. 정말로 그렇게 발음이 되나 한번 발음을 해볼까요? 제가 앞서 말씀드린 것처럼 유희만의 학생들이 발음을 대체로 물론 틀린 학생도 있겠습니다만 대체로 발음을 잘 하는 경향이 있어요. 그럼 본인이 한번 해보라니까요. 해보세요. 첫 번째 단어를 자연스럽게 읽어보세요. 어떻게 읽죠?,29.01477456,"자 우선 이해했어요. 음 그렇구나. 정말로 그렇게 발음이 되나 한번 발음을 해볼까요? 제가 앞서 말씀드린 것처럼 유음하는 학생들이 발음을 대체로, 물론 틀린 학생도 있겠습니다만 대체로 발음을 잘 하는 경향이 있어요. 그럼 본인이 한번 해보라니까요. 자 해보세요. 이 첫 번째 단어를 자연스럽게 읽어보세요. 어떻게 읽죠?",54.24422288,자 우선 이해했어요. 음 그렇구나 정말로 그렇게 발음이 되나 한번 발음을 해볼까요? 제가 앞서 말씀드린 것처럼 유흐만은 학생들이 발음을 대체로 물론 틀린 학생도 있겠습니다만은 대체로 발음을 잘하는 경향이 있어요 그럼 본인이 한번 해보라니까요. 해보세요 이 첫 번째 단어를 자연스럽게 읽어보세요. 어떻게 읽죠?
363,이 단어는 어떻게 읽어 읽을 수 있죠.,1.648857832,이 단어는 어떻게 읽을 수 있죠?,5.063029766,이 단어는 어떻게 읽을 수 있죠?,15.49960232,이 단어는 어떻게 읽을 수 있죠?,28.81654501,이 단어는 어떻게 읽을 수 있죠?
364,이거 어떻게 읽어+ 읽어보나요 혹시 이거 틀린 학생 있을까요 자/ 여러분이 아마 낯선 단어여서 그럴지 모르겠는데 이렇게 읽어요 선릉.,2.420996428,이거 어떻게 읽어보나요? 혹시 이거 틀린 학생 있을까요? 자 여러분이 아마 낯선 단어에서 그럴지 모르겠는데 이렇게 읽어요 설릉,6.683029175,이거 어떻게 읽으라고 읽어보나요 혹시 이거 틀린 학생 있을까요 여러분이 아마 낯선 단어에서 그럴지 모르겠는데 이렇게 읽어요 설릉,20.51640248,"이거 어떻게 읽어보나요? 혹시 이거 틀린 학생 있을까요? 자, 여러분이 아마 낯선 단어여서 그럴지 모르겠는데 이렇게 읽어요. 설릉.",37.6165297,이거 어떻게 읽어보나요? 혹시 이거 틀리는 학생 있을까요? 자 여러분이 아마 낯선 단어여서 그럴지 모르겠는데 이렇게 읽어요. 설릉
365,이것도 지명이죠 이거 누가 이름이고 해서 어디 지명이고요 광한루 그리고 한라산.,2.129016638,이것도 지명이죠? 누가 이름이 거죠? 지명이고요. 광활로 그리고 할라산,5.924044847,이것도 지명이죠. 누가 이름이고 저것도 지명이고요. 광활로우 그리고 한라산,18.1690917,이것도 지명이죠. 누가 이름인거죠. 지명이고요. 광할로 그리고 한라산,33.72475481,이것도 지명이죠. 이거 누가 이름이고 저것도 지명이고요. 광할로 그리고 한라산.
366,제가 우선 여러분에게 발음을 해 보라고 지금 직접 권해 봤는데 발음을 할 때 혹시 틀리게 발음한 부분이 있었는지 한번 짚어보시고요 대부분 올바르게 발음했을 거라고 저는 믿고 있어요. 자/ 칠판 좀 보시겠어요 제가 대체로 학생들한테 잘 문제 내는 게 이 단어하고 그다음에 사실은 이 단어를 잘 물어봐요.,3.883186102,제가 우선 여러분에게 발음을 해보라고 직접 권해봤는데 발음을 할 때 혹시 틀리게 발음한 부분이 있었는지 한번 짚어보시고요. 대부분 올바르게 발음했을 거라고 저는 믿고 있어요. 7판도 보시겠어요. 제가 대체로 학생들한테 잘 문제 내는 게 이단호하고 그다음에 사실 이단호를 잘 부르봐요.,10.16197181,제가 우선 여러분에게 발음을 해보라고 지금 직접 권해봤는데 발음을 할 때 혹시 틀리게 발음한 부분이 있었는지 한번 짚어보시고요 대부분 올바르게 발음했을 거라고 저는 믿고 있어요 7판 좀 보시겠어요 제가 대체로 학생들한테 잘 문제되는 게 이 단어하고 그 다음에 사실은 이 단어를 잘 물어봐요,29.24696612,"제가 우선 여러분에게 발음을 해보라고 지금 직접 권해봤는데 발음을 할 때 혹시 틀리게 발음한 부분이 있었는지 한번 짚어보시고요 대부분 올바르게 발음했을 거라고 저는 믿고 있어요. 자, 칠판 좀 보시겠어요? 제가 대체로 학생들한테 잘 문제내는 게 이 단어하고 그 다음에 사실은 이 단어를 잘 물어봐요.",53.59107208,제가 우선 여러분에게 발음을 해보라고 지금 직접 권해봤는데 발음을 할 때 혹시 틀리게 발음한 부분이 있었는지 한번 짚어보시고요 대부분 올바르게 발음했을 거라고 저는 믿고 있어요 자 칠판도 보시겠어요? 제가 대체로 학생들한테 잘 문제내는 게 이 단어하고 그 다음에 사실은 이 단어를 잘 물어봐요
367,발음해 보라고 하면 제가 지금 밑줄 친 저 단어는 학생들이 칼날 혹은 칼.,1.988999367,바른 해보라고 하면 제가 지금 미줄지 저 단호는 학생들 칼날 혹은 칼하,5.859063148,바람 해보라고 하면 제가 지금 밑줄 치는 단어는 학생들이 칼날 혹은 칼,18.03255129,발음해보라고 하면 제가 지금 밑줄 치는 저 단어는 학생들이 칼날 혹은 칼...,32.87891626,발음해보라고 하면 제가 지금 밑줄친 저 단어는 학생들이 칼날 혹은 칼을
368,칼날이라고 발음하는 게 잘못된 발음인데 칼날이라고 틀리게 발음할 때 상당히 어렵습니다. 무.,2.157032967,칼 날이라고 바름하는 게 잘못된 바름인데 칼 날이라고 틀링해 바름할 때 상당히 어렵습니다.,6.381032944,"칼, 날이라고 발음하는 게 잘못된 발음인데 칼, 날이라고 틀린 게 발음할 때 상당히 어렵습니다.",18.31809735,칼날이라고 발음하는게 잘못된 발음인데 칼날이라고 틀린게 발음할 때 상당히 어렵습니다.,35.01958656,칼날이라고 발음하는게 잘못된 발음인데 칼날이라고 틀리게 발음할 때 상당히 어렵습니다.
